authority_id,jurisdiction,authority_type,issuing_body,citation,title,chapter,topic_tags,effective_date,amendment_date,status,precedential_status,source_url,local_filename,retrieval_date,sha256,retrieval_priority,retrieval_eligible,verification_required,notes,publication_status,retrieved_at,effective_date_checked,source_identity_checked,reviewed_at,reviewed_by,verification_level,snapshot_kind,snapshot_completeness,retrieval_scope,source_access_method,raw_source_bytes_preserved,extract_is_verbatim,source_derived_word_count,answer_scope,as_of_date
NH-V0011,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:3,Procedure and Jurisdiction for Parenting and Support,461-A,"[""parental_rights"", ""procedure"", ""jurisdiction"", ""child_support""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-3.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-3.md,2026-09-11T18:22:03Z,511656992a47d90f3be3f282334e0ab3ed4bdf4602dcfb217d03e33b40dc9700,0,True,[],"Source note reflects amendment effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,64,substantive_section_scope,2026-09-11
NH-V0012,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:4,Parenting Plans — Current Contents,461-A,"[""parenting_plan"", ""parenting_schedule"", ""transportation"", ""school"", ""current_variant""]",2024-07-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-4.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-4.md,2026-09-11T18:22:03Z,08b2d0ea761a29b1790b2a6c2f44ef659145873224d4245f100c2fd046abeb5b,0,True,[],"Current text is filtered as of September 11, 2026. A separate future-effective capsule preserves the 2027 change.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,82,substantive_section_scope,2026-09-11
NH-V0013,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:4-a,Family Access Motion to Enforce Parenting Time,461-A,"[""parenting_time"", ""enforcement"", ""family_access_motion"", ""contempt""]",2025-01-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-4-a.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-4-a.md,2026-09-11T18:22:03Z,d304fb0bfac541f9f42cfa8c1975a0865b31ef72ad261dd677543e44aa1cfd1c,0,True,[],"2024 amendment effective January 1, 2025.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,85,substantive_section_scope,2026-09-11
NH-V0014,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:5,Decision-Making Responsibility,461-A,"[""decision_making"", ""joint_responsibility"", ""abuse"", ""guardian_ad_litem""]",2005-10-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-5.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-5.md,2026-09-11T18:22:03Z,7dd67176dcac5ca1e30612ee7c2d72ae5d940436cac463afd83fbb1955a48360,0,True,[],"Source note reflects original effective date October 1, 2005.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,82,substantive_section_scope,2026-09-11
NH-V0015,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:6,Best-Interest Factors — Current Text as of 2026-09-11,461-A,"[""best_interests"", ""equal_parenting"", ""findings"", ""parental_rights""]",2025-01-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-6.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-6.md,2026-09-11T18:22:03Z,74619228924fcd70671b264a9075c937fa0ba3582b98f40d4b322790b8b5437f,0,True,[],"Current capsule excludes paragraph I-b until its stated September 13, 2026 effective date.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,99,substantive_section_scope,2026-09-11
NH-V0016,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:7,Mediation of Cases Involving Children,461-A,"[""mediation"", ""parental_rights"", ""modification"", ""domestic_violence""]",2023-08-22,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-7.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-7.md,2026-09-11T18:22:03Z,5d3c5520f572aea3c9042d9769e92a1891fc8a2c6aa63fe2a7ca2216b53844ea,0,True,[],"Latest listed amendment effective August 22, 2023.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,72,substantive_section_scope,2026-09-11
NH-V0017,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:11,Modification of Parental Rights and Responsibilities,461-A,"[""parental_rights"", ""modification"", ""burden_of_proof"", ""parenting_schedule""]",2017-01-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-11.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-11.md,2026-09-11T18:22:03Z,5b88c4e3dcd19034064c64d9a3f6679a5e16ebb275a344c4774417b73a9060b3,0,True,[],"Source note reflects amendments effective January 1, 2017.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,97,substantive_section_scope,2026-09-11
NH-V0018,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:12,Relocation of a Child Residence,461-A,"[""relocation"", ""parenting_time"", ""notice"", ""burden_shifting""]",2018-08-07,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-12.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-12.md,2026-09-11T18:22:03Z,125e8f0439c51229f98b2e70e4a68d10354206aea968e4094d73f52d167a603d,0,True,[],"Latest listed amendment effective August 7, 2018.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,93,substantive_section_scope,2026-09-11
NH-V0019,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:14,"Child Support Orders, Duration, Medical Support, and Enforcement",461-A,"[""child_support"", ""court_authority"", ""termination"", ""medical_support"", ""arrears"", ""dhhs""]",2025-07-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-14.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-14.md,2026-09-11T18:22:03Z,e5ba5e0c65baf35d4105c5dc5de4e9ef52489bca01e3d7bc3d4df09ad3cd689b,0,True,[],"2024 amendment listed as effective July 1, 2025.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,83,substantive_section_scope,2026-09-11
NH-V0020,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:20,Meaning of Custody and Custodial Parent References,461-A,"[""terminology"", ""custody"", ""residential_responsibility""]",2005-10-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-20.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-20.md,2026-09-11T18:22:03Z,321aa4bcf0af122322d64a85b6dd9ce69e0e0d9ae43a9bc26a69d6162093cfe3,0,True,[],"Source note reflects original effective date October 1, 2005.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,45,substantive_section_scope,2026-09-11
NH-V0021,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 161-C:2,Administrative Support — Definition of Legal Order,161-C,"[""child_support"", ""administrative_order"", ""dhhs"", ""definitions""]",2006-05-26,,current_verified,,https://gc.nh.gov/rsa/html/XII/161-C/161-C-2.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-161-c-2.md,2026-09-11T18:22:03Z,6bd2bd86bd92504c3fdc6768b155bff764689459306ef9108390c20bc8ad5c13,0,True,[],"Latest listed amendment effective May 26, 2006.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,65,substantive_section_scope,2026-09-11
NH-V0022,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 161-C:7,DHHS Notice When a Court Support Order Exists,161-C,"[""child_support"", ""court_order"", ""dhhs"", ""collection"", ""notice""]",1995-11-01,,current_verified,,https://gc.nh.gov/rsa/html/XII/161-C/161-C-7.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-161-c-7.md,2026-09-11T18:22:03Z,b5876ae4bd26f4c8be74028808b79d89c97e0b3e217ba27543f9511862804ab6,0,True,[],"Latest listed amendment effective November 1, 1995.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,65,substantive_section_scope,2026-09-11
NH-V0023,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 161-C:8,Administrative Establishment When No Legal Support Order Exists,161-C,"[""child_support"", ""administrative_order"", ""no_existing_order"", ""notice"", ""hearing""]",1995-11-01,,current_verified,,https://gc.nh.gov/rsa/html/XII/161-C/161-C-8.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-161-c-8.md,2026-09-11T18:22:03Z,79cc2a98a68927befcf0bd99701e19fb8cb16109d1104dd72f0c8a5501699493,0,True,[],"Latest listed amendment effective November 1, 1995.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,89,substantive_section_scope,2026-09-11
NH-V0024,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 161-C:9,"Administrative Support Hearings, Modification, and Court Supersession",161-C,"[""child_support"", ""administrative_hearing"", ""dhhs"", ""supersession"", ""modification""]",1995-11-01,,current_verified,,https://gc.nh.gov/rsa/html/XII/161-C/161-C-9.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-161-c-9.md,2026-09-11T18:22:03Z,7d6fb6fd3e0cfc96b26d81c86c4ce83b5c7aeb1ccdb4a3a4d0661d97ad6b570f,0,True,[],"Latest listed amendment effective November 1, 1995.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,89,substantive_section_scope,2026-09-11
NH-V0025,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:1,UCCJEA Definitions and Home State,458-A,"[""uccjea"", ""jurisdiction"", ""home_state"", ""definitions""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-1.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-1.md,2026-09-11T18:22:03Z,14cbb4ec048dda0d2d2cf1aa7c77323f0bef4d5d014df87f6adfd34fdb6a41f7,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,82,substantive_section_scope,2026-09-11
NH-V0026,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:12,UCCJEA Initial Child-Custody Jurisdiction,458-A,"[""uccjea"", ""initial_jurisdiction"", ""home_state""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-12.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-12.md,2026-09-11T18:22:03Z,a35dede8873b50fe189a2ca0f4aa929a97dbb4b036ba5ddde832f6b8dd0a4699,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,93,substantive_section_scope,2026-09-11
NH-V0027,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:13,UCCJEA Exclusive Continuing Jurisdiction,458-A,"[""uccjea"", ""continuing_jurisdiction"", ""modification""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-13.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-13.md,2026-09-11T18:22:03Z,16530028d00b46a41e9bc8c4e32b65f69eb13266a62f1dc2a4c6bf174d9d99a6,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,73,substantive_section_scope,2026-09-11
NH-V0028,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:14,UCCJEA Jurisdiction to Modify Another State’s Order,458-A,"[""uccjea"", ""interstate_modification"", ""jurisdiction""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-14.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-14.md,2026-09-11T18:22:03Z,3136f32f61962bb26c0cf29e360a18247280c9514f085d16220dcb98d3ba0c5b,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,68,substantive_section_scope,2026-09-11
NH-V0029,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:15,UCCJEA Temporary Emergency Jurisdiction,458-A,"[""uccjea"", ""emergency_jurisdiction"", ""abuse"", ""safety""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-15.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-15.md,2026-09-11T18:22:03Z,122af390e8455ec3de1d4b3b997bb93d8bcb9c17f4f3b3fd7646984855071c34,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,92,substantive_section_scope,2026-09-11
NH-V0030,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:16,UCCJEA Notice and Opportunity to Be Heard,458-A,"[""uccjea"", ""notice"", ""due_process"", ""joinder""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-16.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-16.md,2026-09-11T18:22:03Z,85509964d29d494a2fdcd21a02a959eb5b345275c5977a8762249751a1afe017,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,73,substantive_section_scope,2026-09-11
NH-V0031,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:17,UCCJEA Simultaneous Proceedings,458-A,"[""uccjea"", ""simultaneous_proceedings"", ""court_communication""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-17.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-17.md,2026-09-11T18:22:03Z,23cdbd8b3fe9722ac5d8beba70839ccade6b337c5bacb4d6af88f57f589efccd,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,77,substantive_section_scope,2026-09-11
NH-V0032,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:18,UCCJEA Inconvenient Forum,458-A,"[""uccjea"", ""inconvenient_forum"", ""domestic_violence"", ""evidence""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-18.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-18.md,2026-09-11T18:22:03Z,4abdf41426bd0966dddea71f82b1828fcfdbebc26c512c62029e612b36dff6fa,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,83,substantive_section_scope,2026-09-11
NH-V0033,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:19,UCCJEA Jurisdiction Declined for Unjustifiable Conduct,458-A,"[""uccjea"", ""unjustifiable_conduct"", ""fees"", ""safety""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-19.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-19.md,2026-09-11T18:22:03Z,51c389829386836d4f376cd604e1a55c69481c9f6298433f5f442b6790f4b099,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,86,substantive_section_scope,2026-09-11
NH-V0034,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-A:20,UCCJEA Information Submitted to Court,458-A,"[""uccjea"", ""affidavit"", ""residence_history"", ""confidentiality""]",2010-12-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-20.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-a-20.md,2026-09-11T18:22:03Z,da0169db0b8bad0474c530446f71baf50328e1273f57c9483101b94f87938824,0,True,[],"UCCJEA enacted effective December 1, 2010.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,86,substantive_section_scope,2026-09-11
NH-V0035,NH,official_guidance,New Hampshire General Court — Office of Legislative Services,NH Revised Statutes Online — Currentness Notice,Official RSA Online Currentness and LSA Warning,,"[""source_currentness"", ""rsa_index"", ""legislative_updates""]",2026-09-11,,current_verified,,https://gc.nh.gov/rsa/html/indexes/default.aspx,corpus/CURRENT_AUTHORITY/official_guidance/nh-revised-statutes-online-currentness-notice.md,2026-09-11T18:22:03Z,a9a8f939035862acec20ecc70ac38e360339ed7ad74a727133cbb824849325c2,0,True,[],"Official index currentness notice; retrieval role is source-governance only, not a substantive family-law rule.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,70,source_currentness_only,2026-09-11
NH-V0036,NH,official_guidance,New Hampshire General Court — Office of Legislative Services,NH Administrative Rules — Online Rule Verification Guidance,Official Administrative-Rule Currentness Method,,"[""administrative_rules"", ""source_currentness"", ""filing_history"", ""expiration""]",2026-09-11,,current_verified,,https://gc.nh.gov/rules/About_Rules/checkrule.aspx,corpus/CURRENT_AUTHORITY/official_guidance/nh-administrative-rules-online-rule-verification-guidance.md,2026-09-11T18:22:03Z,30333461ec3f493b5eb9e47f49074cf4f173c0ec23a92f31326580012f60374b,0,True,[],Official currentness methodology. This capsule does not promote any He-W or He-C substantive rule.,,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,75,source_currentness_only,2026-09-11
NH-V0037,NH,official_guidance,New Hampshire General Court — Office of Legislative Services,NH Administrative Rules — Legal Effect and Agency Index,Official Administrative-Rule Authority Hierarchy,,"[""administrative_rules"", ""agency_index"", ""legal_effect"", ""coverage_audit""]",2026-09-11,,current_verified,,https://www.gc.nh.gov/rules/about_rules/listagencies.aspx,corpus/CURRENT_AUTHORITY/official_guidance/nh-administrative-rules-legal-effect-and-agency-index.md,2026-09-11T18:22:03Z,c16d8932e2933c668000b09ce2e937def18dd4d7c3ee8e175b010aae76127fb7,0,True,[],Official agency-index/currentness guidance; retrieval role is governance and coverage auditing.,,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,78,source_currentness_only,2026-09-11
NH-F0001,NH,statute,New Hampshire General Court — Office of Legislative Services,"RSA 461-A:6, I-b (future effective)",Future Best-Interest Provision,461-A,"[""best_interests"", ""future_effective"", ""parental_rights""]",2026-09-13,,future_effective_pending,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-6.htm,corpus/PENDING_REVIEW/FUTURE_EFFECTIVE/rsa-461-a-6-i-b-future-effective.md,2026-09-11T18:22:03Z,eff281d4720fde8e9037ed8aea7de8911848506cc0a5c0c714303d8d8381f3b9,99,False,"[""effective_date_arrival"", ""fresh_source_check"", ""explicit_promotion""]",Preserved for scheduled activation review after the stated effective date; no automatic promotion.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,future_capsule_only,web_parsed_official_html,False,False,53,,2026-09-11
